Symbol,Action,Qty,Price,Date,Trade_ID
IDEA,BUY,1,14.18,2026-06-09,207777467.0
IDEA,BUY,1,14.18,2026-06-09,207777468.0
IDEA,BUY,1,14.18,2026-06-09,207777469.0
IDEA,BUY,1,14.18,2026-06-09,207777470.0
IDEA,BUY,1,14.18,2026-06-09,207777471.0
IDEA,BUY,1,14.18,2026-06-09,207777472.0
IDEA,BUY,1,14.18,2026-06-09,207777473.0
IDEA,BUY,1,14.18,2026-06-09,207777474.0
IDEA,BUY,1,14.18,2026-06-09,207777475.0
IDEA,BUY,1,14.18,2026-06-09,207777476.0
IDEA,BUY,1,14.18,2026-06-09,207777477.0
IDEA,BUY,1,14.18,2026-06-09,207777478.0
IDEA,BUY,1,14.18,2026-06-09,207777479.0
IDEA,BUY,1,14.18,2026-06-09,207777480.0
IDEA,BUY,1,14.18,2026-06-09,207777481.0
IDEA,BUY,1,14.18,2026-06-09,207777482.0
IDEA,BUY,1,14.18,2026-06-09,207777483.0
IDEA,BUY,1,14.18,2026-06-09,207777484.0
IDEA,BUY,1,14.18,2026-06-09,207777485.0
IDEA,BUY,1,14.18,2026-06-09,207777486.0
IDEA,BUY,1,14.18,2026-06-09,207777487.0
IDEA,BUY,1,14.18,2026-06-09,207777488.0
IDEA,BUY,1,14.18,2026-06-09,207777489.0
IDEA,BUY,1,14.18,2026-06-09,207777490.0
IDEA,BUY,1,14.18,2026-06-09,207777491.0
IDEA,BUY,1,14.18,2026-06-09,207777492.0
IDEA,BUY,1,14.18,2026-06-09,207777493.0
IDEA,BUY,1,14.18,2026-06-09,207777494.0
IDEA,BUY,1,14.18,2026-06-09,207777495.0
IDEA,BUY,1,14.18,2026-06-09,207777496.0
IDEA,BUY,1,14.18,2026-06-09,207777497.0
IDEA,BUY,1,14.18,2026-06-09,207777498.0
IDEA,BUY,1,14.18,2026-06-09,207777499.0
IDEA,BUY,1,14.18,2026-06-09,207777500.0
IDEA,BUY,1,14.18,2026-06-09,207777501.0
IDEA,BUY,1,14.18,2026-06-09,207777502.0
IDEA,BUY,1,14.18,2026-06-09,207777503.0
IDEA,BUY,1,14.18,2026-06-09,207777504.0
IDEA,BUY,1,14.18,2026-06-09,207777505.0
IDEA,BUY,1,14.18,2026-06-09,207777506.0
IDEA,BUY,1,14.18,2026-06-09,207777507.0
IDEA,BUY,1,14.18,2026-06-09,207777508.0
IDEA,BUY,1,14.18,2026-06-09,207777509.0
IDEA,BUY,1,14.18,2026-06-09,207777510.0
IDEA,BUY,1,14.18,2026-06-09,207777511.0
IDEA,BUY,1,14.18,2026-06-09,207777512.0
IDEA,BUY,1,14.18,2026-06-09,207777513.0
IDEA,BUY,1,14.18,2026-06-09,207777514.0
IDEA,BUY,1,14.18,2026-06-09,207777515.0
IDEA,BUY,1,14.18,2026-06-09,207777516.0
IDEA,BUY,1,14.18,2026-06-09,207777517.0
IDEA,BUY,1,14.18,2026-06-09,207777518.0
IDEA,BUY,1,14.18,2026-06-09,207777519.0
IDEA,BUY,1,14.18,2026-06-09,207777520.0
IDEA,BUY,1,14.18,2026-06-09,207777521.0
IDEA,BUY,1,14.18,2026-06-09,207777522.0
IDEA,BUY,1,14.18,2026-06-09,207777523.0
IDEA,BUY,1,14.18,2026-06-09,207777524.0
IDEA,BUY,1,14.18,2026-06-09,207777525.0
IDEA,BUY,1,14.18,2026-06-09,207777526.0
IDEA,BUY,1,14.18,2026-06-09,207777527.0
IDEA,BUY,1,14.18,2026-06-09,207777528.0
IDEA,BUY,1,14.18,2026-06-09,207777529.0
IDEA,BUY,1,14.18,2026-06-09,207777530.0
IDEA,BUY,1,14.18,2026-06-09,207777531.0
IDEA,BUY,1,14.18,2026-06-09,207777532.0
IDEA,BUY,1,14.18,2026-06-09,207777533.0
IDEA,BUY,1,14.18,2026-06-09,207777534.0
IDEA,BUY,1,14.18,2026-06-09,207777535.0
IDEA,BUY,1,14.18,2026-06-09,207777536.0
IDEA,BUY,1,14.18,2026-06-09,207777537.0
IDEA,BUY,1,14.18,2026-06-09,207777538.0
IDEA,BUY,1,14.18,2026-06-09,207777539.0
IDEA,BUY,1,14.18,2026-06-09,207777540.0
IDEA,BUY,1,14.18,2026-06-09,207777541.0
IDEA,BUY,1,14.18,2026-06-09,207777542.0
IDEA,BUY,1,14.18,2026-06-09,207777543.0
IDEA,BUY,1,14.18,2026-06-09,207777544.0
IDEA,BUY,1,14.18,2026-06-09,207777545.0
IDEA,BUY,1,14.18,2026-06-09,207777546.0
IDEA,BUY,1,14.18,2026-06-09,207777547.0
IDEA,BUY,1,14.18,2026-06-09,207777548.0
IDEA,BUY,1,14.18,2026-06-09,207777549.0
IDEA,BUY,1,14.18,2026-06-09,207777550.0
IDEA,BUY,1,14.18,2026-06-09,207777551.0
IDEA,BUY,1,14.18,2026-06-09,207777552.0
IDEA,BUY,1,14.18,2026-06-09,207777553.0
IDEA,BUY,1,14.18,2026-06-09,207777554.0
IDEA,BUY,1,14.18,2026-06-09,207777555.0
IDEA,BUY,1,14.18,2026-06-09,207777556.0
IDEA,BUY,1,14.18,2026-06-09,207777557.0
IDEA,BUY,1,14.18,2026-06-09,207777558.0
IDEA,BUY,1,14.18,2026-06-09,207777559.0
IDEA,BUY,1,14.18,2026-06-09,207777560.0
IDEA,BUY,1,14.18,2026-06-09,207777561.0
IDEA,BUY,1,14.18,2026-06-09,207777562.0
IDEA,BUY,1,14.18,2026-06-09,207777563.0
IDEA,BUY,1,14.18,2026-06-09,207777564.0
IDEA,BUY,1,14.18,2026-06-09,207777565.0
IDEA,BUY,1,14.18,2026-06-09,207777566.0
IDEA,BUY,1,14.18,2026-06-09,207777567.0
IDEA,BUY,1,14.18,2026-06-09,207777568.0
IDEA,BUY,1,14.18,2026-06-09,207777569.0
IDEA,BUY,1,14.18,2026-06-09,207777570.0
IDEA,BUY,1,14.18,2026-06-09,207777571.0
IDEA,BUY,1,14.18,2026-06-09,207777572.0
IDEA,BUY,1,14.18,2026-06-09,207777573.0
IDEA,BUY,1,14.18,2026-06-09,207777574.0
IDEA,BUY,1,14.18,2026-06-09,207777575.0
IDEA,BUY,1,14.18,2026-06-09,207777576.0
IDEA,BUY,1,14.18,2026-06-09,207777577.0
IDEA,BUY,1,14.18,2026-06-09,207777578.0
IDEA,BUY,1,14.18,2026-06-09,207777579.0
IDEA,BUY,1,14.18,2026-06-09,207777580.0
IDEA,BUY,1,14.18,2026-06-09,207777581.0
IDEA,BUY,1,14.18,2026-06-09,207777582.0
IDEA,BUY,1,14.18,2026-06-09,207777583.0
IDEA,BUY,1,14.18,2026-06-09,207777584.0
IDEA,BUY,1,14.18,2026-06-09,207777585.0
IDEA,BUY,1,14.18,2026-06-09,207777586.0
IDEA,BUY,1,14.18,2026-06-09,207777587.0
