Trade Date,Exchange,Buy / Sell,Scrip / Contract,Qty,Price,Trade Id,symbol,side,qty,price
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,1.0,597.8,209842372.0,HINDCOPPER,SELL,1,597.8
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,2.0,597.8,209842373.0,HINDCOPPER,SELL,2,597.8
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,1.0,597.8,209842374.0,HINDCOPPER,SELL,1,597.8
13-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,43.0,597.75,209842375.0,HINDCOPPER,SELL,43,597.75
16-02-2026,NSEEQ,Buy,HINDCOPPER-EQ,31.0,575.95,209100580.0,HINDCOPPER,BUY,31,575.95
16-02-2026,NSEEQ,Buy,HINDCOPPER-EQ,29.0,576.0,209100581.0,HINDCOPPER,BUY,29,576.0
16-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,33.0,575.85,206032023.0,HINDCOPPER,SELL,33,575.85
16-02-2026,NSEEQ,Sell,HINDCOPPER-EQ,27.0,575.8,206032024.0,HINDCOPPER,SELL,27,575.8
29-01-2026,NSEEQ,Buy,HINDCOPPER-EQ,20.0,728.9,204937861.0,HINDCOPPER,BUY,20,728.9
29-01-2026,NSEEQ,Buy,HINDCOPPER-EQ,20.0,741.0,203555055.0,HINDCOPPER,BUY,20,741.0
30-01-2026,NSEEQ,Buy,HINDCOPPER-EQ,20.0,712.25,202582500.0,HINDCOPPER,BUY,20,712.25
01-02-2026,NSEEQ,Buy,IDEA-EQ,1000.0,10.8,206669520.0,IDEA,BUY,1000,10.8
01-02-2026,NSEEQ,Buy,IDEA-EQ,2000.0,10.8,200624468.0,IDEA,BUY,2000,10.8
02-03-2026,NSEEQ,Buy,IDEA-EQ,500.0,10.15,207244403.0,IDEA,BUY,500,10.15
03-02-2026,NSEEQ,Sell,IDEA-EQ,3000.0,11.4,211959741.0,IDEA,SELL,3000,11.4
04-02-2026,NSEEQ,Buy,IDEA-EQ,1000.0,11.32,211463396.0,IDEA,BUY,1000,11.32
04-02-2026,NSEEQ,Buy,IDEA-EQ,2000.0,11.35,210854623.0,IDEA,BUY,2000,11.35
04-02-2026,NSEEQ,Buy,IDEA-EQ,681.0,11.32,205627612.0,IDEA,BUY,681,11.32
04-02-2026,NSEEQ,Buy,IDEA-EQ,319.0,11.32,205627613.0,IDEA,BUY,319,11.32
04-02-2026,NSEEQ,Buy,IDEA-EQ,1.0,11.44,202943995.0,IDEA,BUY,1,11.44
05-01-2026,NSEEQ,Buy,IDEA-EQ,500.0,11.4,207395725.0,IDEA,BUY,500,11.4
09-02-2026,NSEEQ,Sell,IDEA-EQ,4000.0,11.54,203467361.0,IDEA,SELL,4000,11.54
12-01-2026,NSEEQ,Buy,IDEA-EQ,500.0,11.25,201281289.0,IDEA,BUY,500,11.25
12-02-2026,NSEEQ,Sell,IDEA-EQ,4000.0,11.55,210000642.0,IDEA,SELL,4000,11.55
12-02-2026,NSEEQ,Buy,IDEA-EQ,4000.0,11.36,200842995.0,IDEA,BUY,4000,11.36
13-02-2026,NSEEQ,Buy,IDEA-EQ,3500.0,11.34,208632395.0,IDEA,BUY,3500,11.34
13-02-2026,NSEEQ,Buy,IDEA-EQ,500.0,11.44,201011171.0,IDEA,BUY,500,11.44
16-01-2026,NSEEQ,Buy,IDEA-EQ,1000.0,10.82,210744208.0,IDEA,BUY,1000,10.82
