id,timestamp,symbol,exchange,action,quantity,price,gross_amount,brokerage_fee,stt_fee,exchange_fee,gst_fee,sebi_fee,stamp_duty_fee,total_fees,net_amount,strategy,pnl_gross,pnl_net,pnl_pct_gross,pnl_pct_net,reason,broker,source,entry_timestamp,hold_duration_days,rsi,market_trend,atr,adx,macd_val,macd_signal,macd_hist
15,2026-01-28T14:36:53.466813,MOSCHIP,NSE,SELL,5,184.39,921.95,20.0,0.92,0.03,3.6,0.0,0.0,24.55,897.4,RSI,70.44999999999987,22.139999999999986,8.273634762184367,2.5295340813015548,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
16,2026-01-28T14:37:06.281293,MOSCHIP,BSE,SELL,5,184.5,922.5,20.0,0.92,0.03,3.6,0.0,0.0,24.56,897.94,RSI,70.99999999999994,22.68000000000015,8.338226658837339,2.59123003450405,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
17,2026-01-28T14:54:59.325874,GOLDBEES,NSE,SELL,5,135.38,676.9,20.0,0.68,0.02,3.6,0.0,0.0,24.3,652.6,RSI,56.099999999999994,8.08000000000007,9.036726804123711,1.2536461242475128,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
18,2026-01-28T18:30:15.995652,MICEL,BSE,SELL,5,38.94,194.7,20.0,0.19,0.01,3.6,0.0,0.0,23.8,170.9,RSI,16.099999999999994,-31.32999999999999,9.014557670772673,-15.492261286653806,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
19,2026-01-28T18:30:27.029453,MICEL,BSE,SELL,5,38.94,194.7,20.0,0.19,0.01,3.6,0.0,0.0,23.8,170.9,RSI,16.099999999999994,-31.32999999999999,9.014557670772673,-15.492261286653806,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
20,2026-01-30T12:33:37.046459,MOSCHIP,NSE,SELL,5,203.3,1016.5,20.0,1.02,0.04,3.6,0.0,0.0,24.65,991.85,RSI,165.0,116.59000000000006,19.377568995889607,13.320613303475545,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
21,2026-02-02T17:48:53.069845,GOLDBEES,NSE,BUY,25,118.31,2957.75,20.0,0.0,0.1,3.6,0.0,0.44,24.15,2981.9,RSI,,,,,RSI-based BUY,mstock,BOT,,,27.639319205491816,,,,,,
22,2026-02-02T17:56:41.992691,ITBEES,NSE,BUY,50,41.92,2096.0,20.0,0.0,0.07,3.6,0.0,0.31,23.99,2119.99,RSI,,,,,RSI-based BUY,mstock,BOT,,,45.05794890521027,,,,,,
23,2026-02-03T16:29:47.944558,MON100,NSE,BUY,20,231.82,4636.4,20.0,0.0,0.16,3.6,0.0,0.7,24.46,4660.86,RSI,,,,,RSI-based BUY,mstock,BOT,,,67.86886705525455,,,,,,
24,2026-02-13T15:37:33.692262,ITBEES,NSE,SELL,50,35.99,1799.5,20.0,1.8,0.06,3.6,0.0,0.0,25.46,1774.04,RSI,-296.5,-345.9499999999998,-14.145992366412214,-16.318473200345277,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
